,cpu_clock,isa,l1_size,l2_size,l3_size,num-cpus,mem_type,mem_clock,mem_size
28,2.02,X86_64,32,1024,62541,63,PC4-2933Y,0,391
29,3.44,X86_64,32,1024,120848,4,PC4-2666V,2670,374
30,2.1,X86_64,32,333,72592,32,PC4-3200AA,3141,101
31,2.66,X86_64,32,256,105239,36,PC4-3200AA,3200,2182
32,1.76,X86_64,32,560,43373,39,PC4-2400T,2912,755
33,2.04,X86_64,32,1014,492928,55,PC4-2933V,2719,802
34,2.05,X86_64,32,1011,47362,22,PC4-3200AA,2673,814
35,2.37,X86_64,32,1024,54351,56,PC4-2933V,2600,162
36,2.57,X86_64,32,1024,54688,15,PC4-2666V,2647,394
37,1.94,X86_64,32,1021,81416,23,PC4-2666V,3169,424
38,2.04,X86_64,32,1018,66020,19,PC4-2666V,2867,781
39,2.17,X86_64,32,346,537974,33,0,60,1848
40,1.8,X86_64,32,1024,135417,58,0,583,2224
41,3.84,X86_64,32,1024,41567,48,PC4-3200AA,2626,126
42,2.77,X86_64,32,1012,88414,41,PC4-2666V,2639,769
43,3.14,X86_64,32,1019,37734,49,PC4-2933Y,3200,803
44,2.34,X86_64,32,1023,20523,27,PC4-3200AA,3200,538
45,2.21,X86_64,32,285,7521,10,PC4-2666V,2660,401
46,2.85,X86_64,32,1024,85263,38,PC4-2666V,2632,1655
47,1.9,X86_64,32,1024,45360,39,PC4-2933Y,2639,775
48,2.65,X86_64,32,1018,28008,17,PC4-2933Y,2870,560
49,2.35,X86_64,32,1010,118939,69,PC4-2400T,3191,2188
50,1.82,X86_64,32,261,69353,70,PC4-3200AA,2683,777
51,1.94,X86_64,32,1023,2048,3,PC4-2666V,2655,1086
52,1.7,X86_64,32,1024,9443,30,PC4-2666V,2937,1081
53,2.05,X86_64,32,1019,89685,42,PC4-3200AA,2904,378
54,2.5,X86_64,32,1024,20774,56,PC4-2666V,2585,525
55,1.77,X86_64,32,472,73748,27,PC4-2666V,2624,181
56,2.35,X86_64,32,539,124779,12,PC4-3200AA,3181,278
57,2.42,X86_64,32,1024,29794,30,PC4-2666V,2664,530
58,3.1,X86_64,32,1024,37250,32,PC4-2933V,2668,959
59,1.7,X86_64,32,1018,11377,26,PC4-2666V,2665,803
60,1.9,X86_64,32,1024,21548,20,PC4-2666V,2709,109
61,2.32,X86_64,32,1014,18542,45,PC4-2666V,2604,216
62,3.15,X86_64,32,1020,61934,48,PC4-2666V,2613,350
63,2.23,X86_64,32,1024,25219,29,PC4-3200AA,2692,2120
64,2.27,X86_64,32,1022,67545,46,PC4-3200AA,2909,59
65,2.08,X86_64,32,372,55491,39,PC4-2933V,2638,741
66,1.79,X86_64,32,319,35667,57,PC4-2666V,3163,148
67,1.99,X86_64,32,295,44454,37,PC4-2933V,2955,357
68,1.7,X86_64,32,1024,465084,131,PC4-2933V,2916,703
69,2.17,X86_64,32,256,82625,37,PC4-2933Y,2609,1668
70,2.98,X86_64,32,1019,22820,14,PC4-2666V,2680,223
71,2.14,X86_64,32,1012,2048,19,PC4-2666V,2915,154
72,2.11,X86_64,32,1017,117368,43,PC4-2933V,2925,2074
73,2.09,X86_64,32,1024,4011,2,PC4-2666V,2668,81
74,1.7,X86_64,32,1023,477315,16,PC4-2666V,2717,1051
75,1.91,X86_64,32,1024,85223,80,0,2657,276
76,1.83,X86_64,32,1019,129517,9,PC4-2666V,3182,158
77,1.85,X86_64,32,1024,257055,43,PC4-2933V,2924,380
78,3.15,X86_64,32,1018,600328,43,PC4-3200AA,2918,749
79,1.87,X86_64,32,281,234728,57,PC4-2933Y,3175,1973
80,2.14,X86_64,32,527,40647,45,PC4-3200AA,2929,724
81,2.17,X86_64,32,1024,46374,54,PC4-2666V,2672,322
82,2.52,X86_64,32,1016,12445,21,PC4-3200AA,3199,789
83,3.24,X86_64,32,1016,2048,48,PC4-2666V,2635,1012
84,2.41,X86_64,32,1011,98775,42,PC4-3200AA,3105,190
85,2.16,X86_64,32,1024,87953,35,PC4-3200AA,3140,427
86,2.0,X86_64,32,1022,43154,46,PC4-2666V,2965,1005
87,2.21,X86_64,32,1024,148704,31,PC4-3200AA,0,69
88,3.42,X86_64,32,1020,27548,61,0,3200,810
89,2.8,X86_64,32,1024,6428,95,PC4-2666V,2932,1080
90,1.92,X86_64,32,1018,46961,20,PC4-2666V,2898,379
91,2.14,X86_64,32,536,88980,46,PC4-2933Y,2678,417
92,1.84,X86_64,32,1023,30997,44,PC4-2666V,2654,235
93,1.7,X86_64,32,1024,55651,52,PC4-2666V,2621,572
94,2.89,X86_64,32,1024,8898,13,PC4-2933V,3167,1492
95,2.13,X86_64,32,1024,113113,15,PC4-2666V,3127,393
96,1.82,X86_64,32,1013,39622,49,PC4-3200AA,2668,1029
97,1.97,X86_64,32,1024,32050,41,PC4-2666V,2959,134
98,2.17,X86_64,32,1024,265287,37,PC4-2666V,3143,949
99,2.2,X86_64,32,1022,182042,134,PC4-3200AA,2693,245
