cpu_clock,isa,l1_size,l2_size,l3_size,num-cpus,mem_type,mem_clock,mem_size
2.6,X86_64,32,1024,38912,24,PC4-2666V,2666,192
2.3,X86_64,32,1024,49152,36,PC4-2666V,2666,192
2.1,X86_64,32,1024,45056,32,PC4-2666V,2666,384
2.6,X86_64,32,1024,16384,8,PC4-2666V,2666,192
2.7,X86_64,32,1024,67584,48,PC4-2666V,2666,192
3.0,X86_64,32,1024,49152,36,PC4-2666V,2666,384
2.0,X86_64,32,1024,90112,64,PC4-2666V,2666,768
3.0,X86_64,32,1024,98304,48,PC4-2666V,2666,768
2.1,X86_64,32,1024,61440,44,PC4-2666V,2666,192
2.1,X86_64,32,1024,135168,96,PC4-2666V,2666,768
2.1,X86_64,32,1024,77824,56,PC4-2666V,2666,192
2.1,X86_64,32,1024,32768,24,PC4-2666V,2666,192
2.6,X86_64,32,1024,16384,8,PC4-2666V,2666,192
2.4,X86_64,32,1024,55296,40,PC4-2666V,2666,192
2.6,X86_64,32,1024,45056,32,PC4-2666V,2666,192
2.2,X86_64,32,1024,26624,20,PC4-2666V,2666,192
1.8,X86_64,32,1024,22528,16,PC4-2666V,2666,192
3.6,X86_64,32,1024,65536,16,PC4-2666V,2666,768
2.2,X86_64,32,1024,26624,20,PC4-2666V,2666,192
3.6,X86_64,32,1024,32768,8,PC4-2666V,2666,192
3.4,X86_64,32,1024,38912,12,PC4-2666V,2666,192
1.8,X86_64,32,1024,22528,16,PC4-2666V,2666,192
2.6,X86_64,32,1024,38912,28,PC4-2666V,2666,192
2.1,X86_64,32,1024,22528,16,PC4-2666V,2666,192
2.6,X86_64,32,1024,38912,28,PC4-2666V,2666,192
3.2,X86_64,32,1024,49152,16,PC4-2666V,2666,192
3.2,X86_64,32,1024,49152,16,PC4-2666V,2666,192
2.6,X86_64,32,1024,45056,32,PC4-2666V,2666,192
2.0,X86_64,32,1024,55296,40,PC4-2666V,2666,192
2.1,X86_64,32,1024,61440,44,PC4-2666V,2666,192
3.0,X86_64,32,1024,49152,36,PC4-2666V,2666,192
2.0,X86_64,32,1024,55296,40,PC4-2666V,2666,192
2.3,X86_64,32,1024,49152,36,PC4-2666V,2666,192
2.6,X86_64,32,1024,45056,32,PC4-2666V,2666,384
2.1,X86_64,32,1024,61440,44,PC4-2666V,2666,384
2.1,X86_64,32,1024,67584,48,PC4-2666V,2666,192
3.0,X86_64,32,1024,49152,24,PC4-2666V,2666,192
2.0,X86_64,32,1024,71680,52,PC4-2666V,2666,192
2.7,X86_64,32,1024,49152,36,PC4-2666V,2666,384
3.2,X86_64,32,1024,49152,24,PC4-2666V,2666,192
3.5,X86_64,32,1024,49152,16,PC4-2666V,2666,192
2.8,X86_64,32,1024,45056,32,PC4-2666V,2666,192
2.4,X86_64,32,1024,55296,40,PC4-2666V,2666,384
2.1,X86_64,32,1024,32768,24,PC4-2666V,2666,384
2.4,X86_64,32,1024,26624,20,PC4-2666V,2666,256
1.7,X86_64,32,1024,22528,16,PC4-2666V,2666,192
2.3,X86_64,32,1024,32768,24,PC4-2666V,2666,192
2.4,X86_64,32,1024,26624,20,PC4-2666V,2666,192
2.4,X86_64,32,1024,26624,20,PC4-2666V,2666,192
1.7,X86_64,32,1024,22528,16,PC4-2666V,2666,192
2.2,X86_64,32,1024,38912,28,PC4-2666V,2666,192
2.3,X86_64,32,1024,32768,24,PC4-2666V,2666,192
1.7,X86_64,32,1024,16384,12,PC4-2666V,2666,192
2.2,X86_64,32,1024,38912,28,PC4-2666V,2666,192
2.1,X86_64,32,1024,45056,32,PC4-2666V,2666,192
2.0,X86_64,32,1024,55296,40,PC4-2666V,2666,384
2.3,X86_64,32,1024,49152,36,PC4-2666V,2666,384
3.6,X86_64,32,1024,16384,4,PC4-2666V,2666,96
3.5,X86_64,32,1024,49152,16,PC4-2666V,2666,192
3.6,X86_64,32,1024,32768,8,PC4-2666V,2666,192
2.5,X86_64,32,1024,77824,56,PC4-2666V,2666,384
2.1,X86_64,32,1024,77824,56,PC4-2666V,2666,384
2.5,X86_64,32,1024,77824,56,PC4-2666V,2666,384
2.0,X86_64,32,1024,45056,32,PC4-2666V,2666,192
2.3,X86_64,32,1024,67584,48,PC4-2666V,2666,192
2.1,X86_64,32,1024,71680,52,PC4-2666V,2666,192
2.1,X86_64,32,1024,155648,112,PC4-2666V,2666,768
3.0,X86_64,32,1024,98304,72,PC4-2666V,2666,768
2.5,X86_64,32,1024,155648,112,PC4-2666V,2666,768
2.1,X86_64,32,1024,143360,104,PC4-2666V,2666,768
